T,S,C,E,UTS
600,0.003,1,30.31,2.3
450,0.003,2,29.8,3.2
500,0.01,10,30.28,3.38
400,0.001,10,33.57,3.39
300,0.01,8,34.79,4.17
600,0.005,10,29.79,2.84
450,0.005,2,30.08,3.29
350,0.007,15,36.02,4.16
400,0.007,6,32.07,3.46
400,0.005,8,33.96,3.74
400,0.003,1,9.07,0.86
400,0.003,10,32.97,3.59
450,0.001,15,35.52,3.6
600,0.001,2,26.72,2.38
300,0.01,1,12.7,1.23
450,0.007,2,29.9,3.31
300,0.01,10,35.38,4.4
350,0.007,8,33.48,3.99
400,0.007,8,33.38,3.76
500,0.001,2,30.12,2.9
350,0.001,2,8.45,0.84
350,0.005,10,35.43,4.01
500,0.001,20,36.2,3.47
350,0.01,6,33.36,4.0
450,0.01,2,30.06,3.34
300,0.007,8,35.33,4.02
300,0.001,2,10.38,0.97
350,0.007,1,18.16,1.3
600,0.01,20,35.57,3.2
350,0.007,10,35.33,3.98
450,0.005,6,32.02,3.39
500,0.003,20,35.5,3.6
400,0.01,2,30.94,3.47
350,0.01,8,33.5,4.03
500,0.005,2,28.91,3.02
450,0.007,6,31.14,3.42
450,0.005,8,31.74,3.29
500,0.001,6,31.58,2.71
450,0.003,10,33.27,3.29
500,0.001,15,33.5,3.21
350,0.01,1,18.88,1.4
350,0.01,10,34.97,4.03
450,0.01,6,31.42,3.46
600,0.01,15,30.93,3.12
450,0.005,1,30.73,3.22
600,0.001,20,38.45,2.72
450,0.005,10,32.54,3.43
500,0.003,15,33.02,3.32
500,0.001,8,31.37,2.99
600,0.01,8,29.08,2.8
450,0.007,1,30.95,3.27
500,0.003,8,31.14,3.18
350,0.003,2,8.17,0.99
600,0.01,1,28.82,2.38
300,0.01,2,12.74,1.25
500,0.003,1,28.82,2.88
300,0.003,20,38.26,4.51
450,0.007,15,34.92,3.83
500,0.005,20,34.47,3.7
400,0.001,6,33.37,3.15
600,0.001,8,29.67,2.56
350,0.007,2,9.51,1.08
300,0.005,20,39.16,4.67
450,0.01,15,34.9,3.9
300,0.001,6,36.42,3.78
350,0.001,8,34.25,3.63
600,0.003,20,34.89,2.96
400,0.01,15,35.26,3.99
300,0.007,20,38.22,4.71
600,0.001,10,29.73,2.7
500,0.01,20,34.45,3.82
300,0.003,6,34.97,4.03
450,0.01,8,31.64,3.42
300,0.001,8,36.87,3.64
450,0.007,10,32.67,3.53
500,0.005,15,33.47,3.44
350,0.005,15,36.47,4.04
350,0.003,8,33.37,3.78
350,0.001,10,35.91,3.78
400,0.003,20,37.44,4.02
300,0.005,15,39.39,4.02
600,0.007,2,26.46,2.48
500,0.007,15,33.18,3.46
300,0.001,1,10.38,0.77
350,0.005,8,34.15,3.89
600,0.007,20,35.53,3.16
300,0.001,10,36.33,4.02
400,0.005,20,36.72,4.14
500,0.01,15,33.24,3.49
300,0.003,1,10.54,1.06
500,0.007,8,30.81,3.24
300,0.003,10,36.09,4.14
500,0.005,10,31.37,3.28
400,0.007,2,30.9,3.4
600,0.005,15,31.59,3.08
600,0.003,8,29.29,2.69
600,0.01,2,26.72,2.49
300,0.005,1,10.77,1.12
450,0.001,20,37.36,3.3
300,0.01,6,34.65,4.2
